id,name,category_id/id,code,active,sequence,appears_on_payslip,condition_select,condition_range,condition_range_min,condition_range_max,condition_python,amount_select,amount_percentage_base,quantity,amount_percentage,amount_fix,amount_python_compute,register_id/id,account_debit/id,account_credit/id,analytic_account_id/id,account_tax_id/id
hr_payroll.hr_rule_basic,Salaire de base,hr_payroll.BASIC,BASIC,True,1,True,none,contract.wage,0.0,0.0,"
                    # Available variables:
                    #----------------------
                    # payslip: object containing the payslips
                    # employee: hr.employee object
                    # contract: hr.contract object
                    # rules: object containing the rules code (previously computed)
                    # categories: object containing the computed salary rule categories (sum of amount of all rules belonging to that category).
                    # worked_days: object containing the computed worked days
                    # inputs: object containing the computed inputs

                    # Note: returned value have to be set in the variable 'result'

                    result = rules.NET > categories.NET * 0.10",percentage,contract.wage,worked_days.WORK100.number_of_hours,100.0,0.0,"result = worked_days.WORK100.number_of_hours * contract.wage
",,,,,
hr_payroll.hr_rule_taxable,SALAIRE BRUT,hr_payroll.GROSS,GROSS,True,8,True,none,contract.wage,0.0,0.0,"
                    # Available variables:
                    #----------------------
                    # payslip: object containing the payslips
                    # employee: hr.employee object
                    # contract: hr.contract object
                    # rules: object containing the rules code (previously computed)
                    # categories: object containing the computed salary rule categories (sum of amount of all rules belonging to that category).
                    # worked_days: object containing the computed worked days
                    # inputs: object containing the computed inputs

                    # Note: returned value have to be set in the variable 'result'

                    result = rules.NET > categories.NET * 0.10",percentage,categories.BASIC,1.0,100.0,1.0,"result = categories.BASIC
",,l10n_fr.1_pcg_6411,,,
hr_payroll.hr_rule_net,NET A PAYER,hr_payroll.NET,NET,True,28,True,none,contract.wage,0.0,0.0,"
                    # Available variables:
                    #----------------------
                    # payslip: object containing the payslips
                    # employee: hr.employee object
                    # contract: hr.contract object
                    # rules: object containing the rules code (previously computed)
                    # categories: object containing the computed salary rule categories (sum of amount of all rules belonging to that category).
                    # worked_days: object containing the computed worked days
                    # inputs: object containing the computed inputs

                    # Note: returned value have to be set in the variable 'result'

                    result = rules.NET > categories.NET * 0.10",percentage,categories.GROSS - (categories.CPS + categories.CST),1.0,100.0,0.0,result = categories.GROSS - (categories.CPS + categories.CST),,,l10n_fr.1_pcg_421,,
hr_salary_rule_6,Heures supplémentaire (25%),vct_hr_payroll.hr_salary_rule_category_13,HS25,True,3,True,python,contract.wage,0.0,0.0,result = worked_days.HS25,percentage,contract.wage,worked_days.HS25.number_of_hours,125.0,0.0,"result = worked_days.HS25.number_of_hours
result = result * contract.wage
result = result * 1.25",,,,,
vct_hr_payroll.hr_salary_rule_7,Ancienneté,vct_hr_payroll.hr_salary_rule_category_14,ANCIENNETE,True,2,True,python,contract.wage,0.0,0.0,result = inputs.ANC,percentage,categories.BASIC,inputs.ANC.amount,1.0,0.0,,,,,,
vct_hr_payroll.hr_salary_rule_8,Retraite tranche A,vct_hr_payroll.hr_salary_rule_category_9,RET_TRCH_A,True,12,True,range,categories.GROSS,0.0,257000.0,"
                    # Available variables:
                    #----------------------
                    # payslip: object containing the payslips
                    # employee: hr.employee object
                    # contract: hr.contract object
                    # rules: object containing the rules code (previously computed)
                    # categories: object containing the computed salary rule categories (sum of amount of all rules belonging to that category).
                    # worked_days: object containing the computed worked days
                    # inputs: object containing the computed inputs

                    # Note: returned value have to be set in the variable 'result'

                    result = rules.NET > categories.NET * 0.10",percentage,categories.GROSS,1.0,6.78,0.0,"min = 0
max = 257000
taux = 6.78
if categories.GROSS > max:
        result = max
else:
        result = categories.GROSS
result = (result-min) * taux
result = result / 100",hr_payroll.contrib_register_employees,,,,
vct_hr_payroll.hr_salary_rule_9,Retraite tranche B,vct_hr_payroll.hr_salary_rule_category_9,RET_TRCH_B,True,13,True,range,categories.GROSS,257000.0,514000.0,"
                    # Available variables:
                    #----------------------
                    # payslip: object containing the payslips
                    # employee: hr.employee object
                    # contract: hr.contract object
                    # rules: object containing the rules code (previously computed)
                    # categories: object containing the computed salary rule categories (sum of amount of all rules belonging to that category).
                    # worked_days: object containing the computed worked days
                    # inputs: object containing the computed inputs

                    # Note: returned value have to be set in the variable 'result'

                    result = rules.NET > categories.NET * 0.10",percentage,categories.GROSS-257000,1.0,5.81,0.0,"min = 257000
max = 514000
taux = 5.81
if categories.GROSS > max:
        result = max
else:
        result = categories.GROSS
result = (result-min) * taux
result = result / 100",hr_payroll.contrib_register_employees,,,,
vct_hr_payroll.hr_salary_rule_10,Maladie,vct_hr_payroll.hr_salary_rule_category_9,MALADIE,True,10,True,range,categories.GROSS,0.0,5000000.0,"
                    # Available variables:
                    #----------------------
                    # payslip: object containing the payslips
                    # employee: hr.employee object
                    # contract: hr.contract object
                    # rules: object containing the rules code (previously computed)
                    # categories: object containing the computed salary rule categories (sum of amount of all rules belonging to that category).
                    # worked_days: object containing the computed worked days
                    # inputs: object containing the computed inputs

                    # Note: returned value have to be set in the variable 'result'

                    result = rules.NET > categories.NET * 0.10",percentage,categories.GROSS,1.0,5.43,6.0,"min = 0
max = 5000000
taux = 5.4300
if categories.GROSS > max:
        result = max
else:
        result = categories.GROSS
result = (result-min) * taux
result = result / 100",hr_payroll.contrib_register_employees,,,,
vct_hr_payroll.hr_salary_rule_11,Fond social retraite,vct_hr_payroll.hr_salary_rule_category_9,FSR,True,15,True,range,categories.GROSS,0.0,257000.0,"
                    # Available variables:
                    #----------------------
                    # payslip: object containing the payslips
                    # employee: hr.employee object
                    # contract: hr.contract object
                    # rules: object containing the rules code (previously computed)
                    # categories: object containing the computed salary rule categories (sum of amount of all rules belonging to that category).
                    # worked_days: object containing the computed worked days
                    # inputs: object containing the computed inputs

                    # Note: returned value have to be set in the variable 'result'

                    result = rules.NET > categories.NET * 0.10",percentage,categories.GROSS,1.0,0.17,6.0,"min = 0
max = 257000
taux = 0.17
if categories.GROSS > max:
        result = max
else:
        result = categories.GROSS
result = (result-min) * taux
result = result / 100",hr_payroll.contrib_register_employees,,,,
vct_hr_payroll.hr_salary_rule_12,C.S.T 1ère tranche,vct_hr_payroll.hr_salary_rule_category_8,CST_1,True,18,True,range,categories.GROSS,0.0,150000.0,"min = 0
max = 150000
if categories.GROSS > max:
        result = True
elif categories.GROSS < max and categories.GROSS > min:
        result = True
else:
        result = False",percentage,categories.GROSS,1.0,0.5,12167.0,"min = 0
max = 150000
taux = 0.5
if categories.GROSS > max:
         result = max
else:
         result = categories.GROSS

result = (result-min) * taux
result = result / 100",hr_payroll.contrib_register_employees,,,,
